Project_ID,State,Constituency,Violation_Type,Detail,Amount_In_Question
187219.0,Karnataka,BELLARY(ST),GATE 3: Ghost Project (0 Expenditure),Marked as 'Work Completed' but total disbursed is ₹nan,5200000.0
206597.0,West Bengal,BAHARAMPUR,GATE 3: Ghost Project (0 Expenditure),Marked as 'Work Completed' but total disbursed is ₹nan,2600000.0
161404.0,Andhra Pradesh,HINDUPUR,GATE 3: Ghost Project (0 Expenditure),Marked as 'Work Completed' but total disbursed is ₹nan,1000000.0
145406.0,Rajasthan,BIKANER(SC),GATE 3: Ghost Project (0 Expenditure),Marked as 'Work Completed' but total disbursed is ₹nan,1000000.0
188312.0,Maharashtra,DINDORI(ST),GATE 3: Ghost Project (0 Expenditure),Marked as 'Work Completed' but total disbursed is ₹nan,798000.0
182071.0,Maharashtra,OSMANABAD,GATE 3: Ghost Project (0 Expenditure),Marked as 'Work Completed' but total disbursed is ₹nan,700000.0
145557.0,Odisha,SUNDARGARH (ST),GATE 3: Ghost Project (0 Expenditure),Marked as 'Work Completed' but total disbursed is ₹nan,600000.0
189884.0,Uttar Pradesh,AMETHI,GATE 3: Ghost Project (0 Expenditure),Marked as 'Work Completed' but total disbursed is ₹nan,539136.0
145385.0,Odisha,SUNDARGARH (ST),GATE 3: Ghost Project (0 Expenditure),Marked as 'Work Completed' but total disbursed is ₹nan,500000.0
222527.0,Telangana,CHELVELLA,GATE 3: Ghost Project (0 Expenditure),Marked as 'Work Completed' but total disbursed is ₹nan,500000.0
246261.0,Gujarat,SABARKANTHA,GATE 3: Ghost Project (0 Expenditure),Marked as 'Work Completed' but total disbursed is ₹nan,500000.0
210900.0,Rajasthan,AJMER,GATE 3: Ghost Project (0 Expenditure),Marked as 'Work Completed' but total disbursed is ₹nan,499655.0
234261.0,Rajasthan,AJMER,GATE 3: Ghost Project (0 Expenditure),Marked as 'Work Completed' but total disbursed is ₹nan,499552.0
159384.0,Jammu And Kashmir,UDHAMPUR,GATE 3: Ghost Project (0 Expenditure),Marked as 'Work Completed' but total disbursed is ₹nan,476850.0
202022.0,Gujarat,SABARKANTHA,GATE 3: Ghost Project (0 Expenditure),Marked as 'Work Completed' but total disbursed is ₹nan,400000.0
241033.0,Uttar Pradesh,VARANASI,GATE 3: Ghost Project (0 Expenditure),Marked as 'Work Completed' but total disbursed is ₹nan,307000.0
181132.0,Gujarat,PATAN,GATE 3: Ghost Project (0 Expenditure),Marked as 'Work Completed' but total disbursed is ₹nan,300000.0
182751.0,Gujarat,SABARKANTHA,GATE 3: Ghost Project (0 Expenditure),Marked as 'Work Completed' but total disbursed is ₹nan,300000.0
148775.0,Uttar Pradesh,LALGANJ (SC),GATE 3: Ghost Project (0 Expenditure),Marked as 'Work Completed' but total disbursed is ₹nan,285000.0
148124.0,Mizoram,MIZORAM (ST),GATE 3: Ghost Project (0 Expenditure),Marked as 'Work Completed' but total disbursed is ₹nan,250000.0
167529.0,Gujarat,VALSAD(ST),GATE 3: Ghost Project (0 Expenditure),Marked as 'Work Completed' but total disbursed is ₹nan,249600.0
167519.0,Gujarat,VALSAD(ST),GATE 3: Ghost Project (0 Expenditure),Marked as 'Work Completed' but total disbursed is ₹nan,249600.0
191492.0,Karnataka,KOPPAL,GATE 3: Ghost Project (0 Expenditure),Marked as 'Work Completed' but total disbursed is ₹nan,170000.0
184953.0,Gujarat,CHHOTA UDAIPUR(ST),GATE 3: Ghost Project (0 Expenditure),Marked as 'Work Completed' but total disbursed is ₹nan,125000.0
150656.0,Telangana,MALKAJGIRI,GATE 3: Ghost Project (0 Expenditure),Marked as 'Work Completed' but total disbursed is ₹nan,100000.0
182906.0,Telangana,KHAMMAM,GATE 3: Ghost Project (0 Expenditure),Marked as 'Work Completed' but total disbursed is ₹nan,80000.0
182905.0,Telangana,KHAMMAM,GATE 3: Ghost Project (0 Expenditure),Marked as 'Work Completed' but total disbursed is ₹nan,80000.0
182889.0,Telangana,KHAMMAM,GATE 3: Ghost Project (0 Expenditure),Marked as 'Work Completed' but total disbursed is ₹nan,80000.0
182902.0,Telangana,KHAMMAM,GATE 3: Ghost Project (0 Expenditure),Marked as 'Work Completed' but total disbursed is ₹nan,80000.0
174424.0,Uttar Pradesh,KAUSHAMBI(SC),GATE 3: Ghost Project (0 Expenditure),Marked as 'Work Completed' but total disbursed is ₹nan,50800.0
207366.0,Uttar Pradesh,ROBERTSGANJ(SC),GATE 3: Ghost Project (0 Expenditure),Marked as 'Work Completed' but total disbursed is ₹nan,23588.0
