Project_ID,Constituency,State,Work category,Work description,RECOMMENDED AMOUNT   ( ₹ ),Category_Mean_Cost,Category_Median_Cost,Anomaly_Score
193991.0,ALLAHABAD,Uttar Pradesh,repair and renovation,roads work,9860000.0,597548.51,464802.0,-0.1147
264647.0,BOLPUR(SC),West Bengal,repair and renovation,"construction of gallery at s d s a stadium ,bolpur ,birbhum .executing agency e .o . bolpur municipality.",8983692.0,597548.51,464802.0,-0.1141
216827.0,LAKSHADWEEP(ST),Lakshadweep,normal/others,"procurement of a 32 slice ct scan machine to to indira gandhi hospital,kavaratti",45000000.0,521220.07,300000.0,-0.1126
196288.0,MISRIKH(SC),Uttar Pradesh,normal/others,supply and installation of led semi high mast light at 1 to 158 different places,47472048.0,521220.07,300000.0,-0.1126
290535.0,MISRIKH(SC),Uttar Pradesh,normal/others,supply and installation of led semihigh mast light 200 places,49740000.0,521220.07,300000.0,-0.1126
141045.0,AONLA,Uttar Pradesh,normal/others,supply and installation of led semi high mast light at 274 different places in district budaun,46470400.0,521220.07,300000.0,-0.1126
134984.0,SHAHJAHANPUR(SC),Uttar Pradesh,normal/others,installation of 156 led highmast lights for rural and urban areas as per enclosed list,37908000.0,521220.07,300000.0,-0.1121
194809.0,SHAHJAHANPUR(SC),Uttar Pradesh,normal/others,installation of 165 led highmast lights for rural and urban areas as per enclosed list,40095000.0,521220.07,300000.0,-0.1121
214766.0,ALLAHABAD,Uttar Pradesh,normal/others,allahabad loksabha kshetra roads construction,16757000.0,521220.07,300000.0,-0.1092
216762.0,SULTANPUR,Uttar Pradesh,normal/others,installation of semi high mask light octogonal and led in 99 different blocks as per the attachment,24641199.0,521220.07,300000.0,-0.1092
229416.0,MIRZAPUR,Uttar Pradesh,normal/others,works recomonded in letter no 216 for jamalpur block,22131000.0,521220.07,300000.0,-0.1092
193451.0,NAGALAND,Nagaland,normal/others,clean and green nagaland,15000000.0,521220.07,300000.0,-0.1092
140271.0,NAGALAND,Nagaland,normal/others,purchase of community ambulances 6 (six) nos.,16912380.0,521220.07,300000.0,-0.1092
294027.0,SHAHJAHANPUR(SC),Uttar Pradesh,normal/others,22 yatri tin bus shades list for rural and urban areas as per enclosed list,14533200.0,521220.07,300000.0,-0.1092
212736.0,CHANDAULI,Uttar Pradesh,normal/others,installation of 54 high mast lights in chandauli district.,12830000.0,521220.07,300000.0,-0.1092
201278.0,ANANTNAG,Jammu And Kashmir,normal/others,please release two crore rupees for the construction of sarai for the attendents of poor patients at gmc and associated hospitals at rajouri,20000000.0,521220.07,300000.0,-0.1092
194865.0,AONLA,Uttar Pradesh,normal/others,supply and installation of led semi high mast light as per list enclosed,21030400.0,521220.07,300000.0,-0.1092
138721.0,RAJGARH,Madhya Pradesh,normal/others,general workshed with toilets (125×80feet),16177075.0,521220.07,300000.0,-0.1092
295272.0,CHANDAULI,Uttar Pradesh,normal/others,installation of semi high mast light in different villages of chandauli district,14493600.0,521220.07,300000.0,-0.1092
229418.0,MIRZAPUR,Uttar Pradesh,normal/others,recommended work in letter number 215 for narayanpur block,19747300.0,521220.07,300000.0,-0.1092
211190.0,NORTH EAST DELHI,Delhi,normal/others,supply installation testing and commissioning of cctv surveillance system cum traffic monitoring anpr camera system,25217575.0,521220.07,300000.0,-0.1092
274638.0,PHULPUR,Uttar Pradesh,normal/others,sanlagn latter ke anusar 113 nag highmast light (9.00 mitar),20792000.0,521220.07,300000.0,-0.1092
184631.0,COIMBATORE,Tamil Nadu,normal/others,"construction of terrarium at park at semmozhi poonga, central zone in ward no.67 of coimbatore corporation",20000000.0,521220.07,300000.0,-0.1092
282269.0,SHAHJAHANPUR(SC),Uttar Pradesh,normal/others,installation of 125 led semi highmast lights for rural and urban areas as per enclosed list,31200000.0,521220.07,300000.0,-0.1092
170558.0,MISRIKH(SC),Uttar Pradesh,normal/others,supply and installation of led semi high mast light at different place in district sitapur,28310620.0,521220.07,300000.0,-0.1092
238655.0,BARABANKI(SC),Uttar Pradesh,normal/others,supply and installation of 60 highmast light in many areas of barabanki constituency,12600000.0,521220.07,300000.0,-0.1092
258118.0,BARABANKI(SC),Uttar Pradesh,normal/others,supply and installation of 61 highmast lights in many areas of barabanki lok sabha,12206893.0,521220.07,300000.0,-0.1092
153601.0,BARRACKPUR,West Bengal,normal/others,development of naihati state general hospital.,20000000.0,521220.07,300000.0,-0.1092
166162.0,ANANTNAG,Jammu And Kashmir,normal/others,please release one crore and fifty lakh from my mplads for the construction of sarai for the attendents of poor patients at gmc anantnag phase 1,15000000.0,521220.07,300000.0,-0.1092
259219.0,DHAURAHRA,Uttar Pradesh,normal/others,induction work of semi high mast light 6th at various places according to the attached list in the legislative assembly maholi and hargaon.,12533850.0,521220.07,300000.0,-0.1092
210661.0,SITAPUR,Uttar Pradesh,normal/others,installation of 80 six way 200 watt electric high mast lights on diffrent places.,13383520.0,521220.07,300000.0,-0.1092
154376.0,CHANDAULI,Uttar Pradesh,normal/others,supply and installation of led semi high mast lights at 54 different places in district chandauli (as per list enclosed).,13176000.0,521220.07,300000.0,-0.1092
180308.0,PHULPUR,Uttar Pradesh,normal/others,phulpur sansdiya kshetra me suchi ke anusar block wise 215 solar high mast light ka work,20609400.0,521220.07,300000.0,-0.1092
180315.0,MISRIKH(SC),Uttar Pradesh,normal/others,supply and installation of led semi high mast light at 79 diffrent places in district sitapur.,20304037.0,521220.07,300000.0,-0.1092
153603.0,BARRACKPUR,West Bengal,normal/others,development of bhatpara state general hospital.,20000000.0,521220.07,300000.0,-0.1092
195871.0,CHENNAI SOUTH,Tamil Nadu,normal/others,construction of first floor in ongoing community hall construction,16000000.0,521220.07,300000.0,-0.1092
228446.0,BHAVNAGAR,Gujarat,normal/others,"construction of community hall at fulsar, bhavnagar as per plan attached",11000000.0,521220.07,300000.0,-0.1075
228447.0,BHAVNAGAR,Gujarat,normal/others,"construction of community hall at ruva, bhavnagar as per plan attached",11000000.0,521220.07,300000.0,-0.1075
244721.0,CHANDAULI,Uttar Pradesh,normal/others,installation of high mast light in the common spaces of 49 villages in chandauli district.,11642400.0,521220.07,300000.0,-0.1075
156029.0,BARABANKI(SC),Uttar Pradesh,normal/others,supply and installation of 57 highmast light in many areas of loksabha barabanki,11953957.0,521220.07,300000.0,-0.1075
155524.0,OUTER MANIPUR(ST),Manipur,normal/others,construction of the following for the development of playground at shangshak phunghon; 1) construction of stage & ceiling 2) ground development 3) gallery block- 1 4) gallery block- 2 5) gallery block- 3 6) retaining wall- eastern side,11000000.0,521220.07,300000.0,-0.1075
149089.0,CHENNAI SOUTH,Tamil Nadu,normal/others,"construction of first floor in uphc, radhakrishnan salai. zone - 10, ward - 133",12000000.0,521220.07,300000.0,-0.1075
270346.0,JAUNPUR,Uttar Pradesh,normal/others,loksabha jaunpur ke antargat vidhansabha sadar malhani shahganj badlapur and mugrabadshahpur me 65 nag electric high mast light ka adhisthapan kary (parti nag dar se amount 1.78 lakh rupes only),11570000.0,521220.07,300000.0,-0.1075
252126.0,DOMARIYAGANJ,Uttar Pradesh,normal/others,uska brijmanganj marg se gangadhar pur hote hua baghi gav 1400 meetar pic road kary,11500000.0,521220.07,300000.0,-0.1075
174147.0,SITAPUR,Uttar Pradesh,normal/others,installation of 65 six way 200 watt electric high mast lights on diffrent places.,11402495.0,521220.07,300000.0,-0.1075
177536.0,TRIPURA WEST,Tripura,normal/others,"construction of indoor sports complex with facilities for badminton court, table tennis, squash, indoor gym and other amenities.",11517641.0,521220.07,300000.0,-0.1075
141110.0,BARASAT,West Bengal,normal/others,2 storied building for skill development centre,11000000.0,521220.07,300000.0,-0.1075
229414.0,MIRZAPUR,Uttar Pradesh,normal/others,works recomonded in letter no 217 for sikhar block,11576000.0,521220.07,300000.0,-0.1075
194520.0,TRIPURA WEST,Tripura,normal/others,installation of water treatment plants in 19 high schools under takarjala ac and golaghati ac at the rate of rs six lakhs each including maintenance for three years as per detail in letter no 4502 dated 5 april 2025 from dm and  collector west tripura  agartala,11322689.0,521220.07,300000.0,-0.1075
