Project_ID,Work description,Work category,Hon'ble Members of Parliament,Constituency,State,Recommended date,RECOMMENDED AMOUNT   ( ₹ ),Sanction Date,Sanction Amount ( ₹ ),Work Status,Fund Disbursed Amount ( ₹ ),Payment Status,Completion Date,Amount Disbursed ( ₹ ),riskScore,riskLevel
133166.0,construction of community bhavan at navalgund tq belavatagi village pry no 1/a near shivanand math continue work,normal/others,Pralhad Venkatesh Joshi,DHARWAD,Karnataka,2024-07-08,497185.0,2024-07-09,497185.0,Physical Inspection,497185.0,Payment Success,2024-10-14,497185,45,MODERATE
133167.0,construction of college room of  cbs charitable foudation at nulvi vilage pry no 817/3 continued work,trust and society,Pralhad Venkatesh Joshi,DHARWAD,Karnataka,2024-07-08,500000.0,2025-09-18,500000.0,Sanction,,,,,25,LOW
133190.0,construction of community bhavan of veerashaiv jangam society (r) at ward no 21 chidamarnagar dharwad,trust and society,Pralhad Venkatesh Joshi,DHARWAD,Karnataka,2024-07-08,450000.0,2024-09-23,450000.0,Sanction,,,,,25,LOW
133191.0,construction of maremma cultural bhavan at neerlgudda village shiggava tq,normal/others,Pralhad Venkatesh Joshi,DHARWAD,Karnataka,2024-07-08,1500000.0,2025-05-29,1500000.0,Work partially Completed,850909.0,Payment Success,,,25,LOW
133301.0,"construction of cultural bhavan at kundagol tq, chickgungal village st colony, pry no.202",normal/others,Pralhad Venkatesh Joshi,DHARWAD,Karnataka,2024-07-09,398009.0,2024-08-22,398009.0,Physical Inspection,398009.0,Payment Success,2025-02-03,398009,5,LOW
133303.0,construction of community hall at uppinbetageri village near mallikarjun temple pry no1151,normal/others,Pralhad Venkatesh Joshi,DHARWAD,Karnataka,2024-07-09,399104.0,2024-07-25,399104.0,Physical Inspection,399104.0,Payment Success,2025-02-14,399104,5,LOW
133304.0,construction of community hall at shibargatti village near hanamanth temple pry no 96,normal/others,Pralhad Venkatesh Joshi,DHARWAD,Karnataka,2024-07-09,396154.0,2024-08-22,396154.0,Physical Inspection,396154.0,Payment Success,2025-09-25,396154,5,LOW
133305.0,construction of community hall at hosategur village near shri girimalleshwar math pry no 518 continue work,normal/others,Pralhad Venkatesh Joshi,DHARWAD,Karnataka,2024-07-09,400000.0,2025-06-03,400000.0,Sanction,,,,,25,LOW
133306.0,construction of community hall at kardigudda village near mallikarjun temple pry no 451/2,normal/others,Pralhad Venkatesh Joshi,DHARWAD,Karnataka,2024-07-09,495627.0,2025-03-14,495627.0,Physical Inspection,495627.0,Payment Success,2025-07-17,495627,5,LOW
133307.0,construction of community hall at tadakod village near vittal temple pry no 319,normal/others,Pralhad Venkatesh Joshi,DHARWAD,Karnataka,2024-07-09,398955.0,2024-08-17,398955.0,Physical Inspection,398955.0,Payment Success,2025-07-29,398955,5,LOW
133308.0,construction of community hall at mulmuttal village near beereshwar temple pry no 67,normal/others,Pralhad Venkatesh Joshi,DHARWAD,Karnataka,2024-07-09,399304.0,2024-08-17,399304.0,Physical Inspection,399304.0,Payment Success,2025-05-31,399304,5,LOW
133309.0,construction of community hall at nigadi village near kalmeshwar temple pry no 101 continued work,normal/others,Pralhad Venkatesh Joshi,DHARWAD,Karnataka,2024-07-09,495031.0,2025-03-14,495031.0,Physical Inspection,495031.0,Payment Success,2025-10-28,495031,5,LOW
133310.0,construction of cultural bhavan at parsapur village near hanuman temple pry no 107,normal/others,Pralhad Venkatesh Joshi,DHARWAD,Karnataka,2024-07-09,247583.0,2024-08-22,247583.0,Physical Inspection,247583.0,Payment Success,2025-05-31,247583,5,LOW
133311.0,construction of cultural bhavan at chabbi village near vithobha temple pry no 266/a,normal/others,Pralhad Venkatesh Joshi,DHARWAD,Karnataka,2024-07-09,250000.0,2024-08-22,250000.0,Sanction,,,,,25,LOW
133312.0,construction of community hall at ayahatti village near beereshwar temple pry no 34,normal/others,Pralhad Venkatesh Joshi,DHARWAD,Karnataka,2024-07-09,498091.0,2024-07-25,498091.0,Physical Inspection,498091.0,Payment Success,2025-06-09,498091,5,LOW
133409.0,"pcc road from permeshwar bhagat house to ramdev master house at ward no 15, uder forbesganj block.",normal/others,Pradeep Kumar Singh,ARARIA,Bihar,2024-07-12,448127.0,2024-07-14,448127.0,Physical Inspection,448127.0,Payment Success,2024-09-05,448127,5,LOW
133447.0,phage 2: concrete r.c.c. bridge,normal/others,Dr Sukanta Majumdar,BALURGHAT,West Bengal,2024-07-13,1602957.0,2024-08-07,1602957.0,Physical Inspection,1602957.0,Payment Success,2026-07-27,1602957,5,LOW
133549.0,khnagela game mota faliya ma c.c.road nu kam,normal/others,Jaswantsinh Sumanbhai Bhabhor,DAHOD(ST),Gujarat,2024-07-17,250000.0,2025-04-11,250000.0,Physical Inspection,250000.0,Payment Success,2026-02-21,250000,5,LOW
133550.0,vijagadh game sampura balubhai na ghar thi kenal faliya sudhi c.c.road nu kam,normal/others,Jaswantsinh Sumanbhai Bhabhor,DAHOD(ST),Gujarat,2024-07-17,245697.0,2025-10-07,245697.0,Sanction,,,,,25,LOW
133551.0,khangela game dharmesh na ghar taraf jata rasta par c.c.road nu kam,normal/others,Jaswantsinh Sumanbhai Bhabhor,DAHOD(ST),Gujarat,2024-07-17,242105.0,2025-10-17,242105.0,Physical Inspection,242105.0,Payment Success,2026-02-21,242105,5,LOW
133552.0,khapariya game damor faliya ma c.c.road nu kam,normal/others,Jaswantsinh Sumanbhai Bhabhor,DAHOD(ST),Gujarat,2024-07-17,250000.0,2025-04-11,250000.0,Sanction,,,,,25,LOW
133553.0,agavada game gamtal sarpanch faliya ma c.c.road nu kam,normal/others,Jaswantsinh Sumanbhai Bhabhor,DAHOD(ST),Gujarat,2024-07-17,245697.0,2025-10-07,245697.0,Sanction,,,,,25,LOW
133554.0,dashla game sarkari prathmik  shala ma shed nu kam,normal/others,Jaswantsinh Sumanbhai Bhabhor,DAHOD(ST),Gujarat,2024-07-17,245098.0,2025-10-17,245098.0,Sanction,,,,,25,LOW
133556.0,khapariiya game damor simada faliya faliya ma c.c.road nu kam,normal/others,Jaswantsinh Sumanbhai Bhabhor,DAHOD(ST),Gujarat,2024-07-17,245697.0,2025-10-07,245697.0,Sanction,,,,,25,LOW
133557.0,varod surpali sadiyavaru faliyama aavel sarkari sarve no.189-1 ma samuhik kuva nu kam,normal/others,Jaswantsinh Sumanbhai Bhabhor,DAHOD(ST),Gujarat,2024-07-17,250000.0,2026-01-02,250000.0,Sanction,,,,,25,LOW
133558.0,varamkheda game mukhy rasta thi gamtal sudhi c.c.road nu kam,normal/others,Jaswantsinh Sumanbhai Bhabhor,DAHOD(ST),Gujarat,2024-07-17,245697.0,2025-10-07,245697.0,Sanction,,,,,25,LOW
133559.0,moti kharaj game dhanthadi c.c.road nu kam,normal/others,Jaswantsinh Sumanbhai Bhabhor,DAHOD(ST),Gujarat,2024-07-17,245098.0,2025-10-17,245098.0,Sanction,,,,,25,LOW
133560.0,nagrala game bamaniya faliya ma samuhik sinchai kuva nu kam,normal/others,Jaswantsinh Sumanbhai Bhabhor,DAHOD(ST),Gujarat,2024-07-17,245826.0,2025-10-17,245826.0,Sanction,,,,,25,LOW
133561.0,nasirpur game mavi faliya ma samuhik kuva nu kam,normal/others,Jaswantsinh Sumanbhai Bhabhor,DAHOD(ST),Gujarat,2024-07-17,245826.0,2025-10-17,245826.0,Sanction,,,,,25,LOW
133562.0,punsari game bhuriya faliya ma paka rasta ne jodto c.c.road nu kam,normal/others,Jaswantsinh Sumanbhai Bhabhor,DAHOD(ST),Gujarat,2024-07-17,245697.0,2025-10-07,245697.0,Sanction,,,,,25,LOW
133563.0,chandawada game toranvali mahudi faliya ma c.c.road nu kam,normal/others,Jaswantsinh Sumanbhai Bhabhor,DAHOD(ST),Gujarat,2024-07-17,245697.0,2025-10-07,245697.0,Sanction,,,,,25,LOW
